,period_open,period_close,transactions,positions,gross_leverage,starting_exposure,net_leverage,returns,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,BTC,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algo_volatility,benchmark_period_return,benchmark_volatility
2018-02-16 21:00:00+00:00,2018-02-16 14:31:00+00:00,2018-02-16 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 43.107}]",0.043157759135251744,4324.8,0.043157759135251744,-0.00014114610456728016,4310.7,4324.8,4310.7,95571.68699999999,95571.68699999999,99882.38699999999,1,0,4310.7,0.0,4310.7,-14.10000000000582,0.0,0.0,[],43.107,-0.001176130000000386,,,-1.001693213193275,-1.4403366133145419,-0.005496130000000221,0.04426102375747951,0.0,0.0,20,2018-02,0.014700000829185567,0.0,0.0
2018-02-20 21:00:00+00:00,2018-02-20 14:31:00+00:00,2018-02-20 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 42.963}]",0.04301979171764021,4310.7,0.04301979171764021,-0.00014416956214702292,4296.3,4310.7,4296.3,95571.68699999999,95571.68699999999,99867.987,1,0,4296.3,0.0,4296.3,-14.39999999999418,0.0,0.0,[],42.963,-0.001320130000000308,,,-1.0992873698545857,-1.5770548802309436,-0.005496130000000221,0.04426102375747951,0.0,0.0,21,2018-02,0.014330866480883622,0.0,0.0
2018-02-21 21:00:00+00:00,2018-02-21 14:31:00+00:00,2018-02-21 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 42.768}]",0.04283289740784956,4296.3,0.04283289740784956,-0.0001952577656341159,4276.8,4296.3,4276.8,95571.68699999999,95571.68699999999,99848.487,1,0,4276.8,0.0,4276.8,-19.5,0.0,0.0,[],42.768,-0.0015151300000002532,,,-1.234518057698806,-1.765918724537285,-0.005496130000000221,0.04426102375747951,0.0,0.0,22,2018-02,0.013992707721831714,0.0,0.0
2018-02-22 21:00:00+00:00,2018-02-22 14:31:00+00:00,2018-02-22 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 43.125}]",0.0431750022653736,4276.8,0.0431750022653736,0.00035754172218949165,4312.5,4276.8,4312.5,95571.68699999999,95571.68699999999,99884.18699999999,1,0,4312.5,0.0,4312.5,35.69999999999709,0.0,0.0,[],43.125,-0.0011581300000003125,,,-0.9172142340190428,-1.317631241826339,-0.005496130000000221,0.04426102375747951,0.0,0.0,23,2018-02,0.01374355289737457,0.0,0.0
2018-02-23 21:00:00+00:00,2018-02-23 14:31:00+00:00,2018-02-23 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 43.875}]",0.043892914014996946,4312.5,0.043892914014996946,0.0007508696046152341,4387.5,4312.5,4387.5,95571.68699999999,95571.68699999999,99959.18699999999,1,0,4387.5,0.0,4387.5,75.0,0.0,0.0,[],43.875,-0.0004081300000002841,,,-0.3065378347738053,-0.4480678197785968,-0.005496130000000221,0.04426102375747951,0.0,0.0,24,2018-02,0.013689698588510149,0.0,0.0
2018-02-26 21:00:00+00:00,2018-02-26 14:31:00+00:00,2018-02-26 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.743}]",0.044722433494508884,4387.5,0.044722433494508884,0.0008683544014818079,4474.3,4387.5,4474.3,95571.68699999999,95571.68699999999,100045.987,1,0,4474.3,0.0,4474.3,86.80000000000291,0.0,0.0,[],44.743,0.0004598699999995848,,,0.34503096658873467,0.5148517331786325,-0.005496130000000221,0.044722433494508884,0.0,0.0,25,2018-02,0.01369285276675243,0.0,0.0
2018-02-27 21:00:00+00:00,2018-02-27 14:31:00+00:00,2018-02-27 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.597}]",0.04458300673167713,4474.3,0.04458300673167713,-0.00014593288984188213,4459.7,4474.3,4459.7,95571.68699999999,95571.68699999999,100031.38699999999,1,0,4459.7,0.0,4459.7,-14.60000000000582,0.0,0.0,[],44.597,0.0003138699999996053,,,0.23300486669678794,0.34722051968004136,-0.005496130000000221,0.044722433494508884,0.0,0.0,26,2018-02,0.013425993488010445,0.0,0.0
2018-02-28 21:00:00+00:00,2018-02-28 14:31:00+00:00,2018-02-28 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.53}]",0.044519009592102005,4459.7,0.044519009592102005,-6.69789773084517e-05,4453.0,4459.7,4453.0,95571.68699999999,95571.68699999999,100024.68699999999,1,0,4453.0,0.0,4453.0,-6.69999999999709,0.0,0.0,[],44.53,0.00024686999999956605,,,0.18130398540596496,0.26995021981145395,-0.005496130000000221,0.044722433494508884,0.0,0.0,27,2018-02,0.013167503873864145,0.0,0.0
2018-03-01 21:00:00+00:00,2018-03-01 14:31:00+00:00,2018-03-01 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 43.75}]",0.04377333687909035,4453.0,0.04377333687909035,-0.0007798074889252549,4375.0,4453.0,4375.0,95571.68699999999,95571.68699999999,99946.68699999999,1,0,4375.0,0.0,4375.0,-78.0,0.0,0.0,[],43.75,-0.0005331300000004369,,,-0.35901492986960737,-0.5243848399924963,-0.005496130000000221,0.044722433494508884,0.0,0.0,28,2018-03,0.013136523134712792,0.0,0.0
2018-03-02 21:00:00+00:00,2018-03-02 14:31:00+00:00,2018-03-02 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.053000000000004}]",0.04406314025046584,4375.0,0.04406314025046584,0.00030316162455701345,4405.3,4375.0,4405.3,95571.68699999999,95571.68699999999,99976.987,1,0,4405.3,0.0,4405.3,30.30000000000291,0.0,0.0,[],44.053000000000004,-0.00023013000000027262,,,-0.14837733596330294,-0.21716992711063404,-0.005496130000000221,0.044722433494508884,0.0,0.0,29,2018-03,0.012934657984308217,0.0,0.0
